wallet,abridge,amount
bc1pz7nf527kq3jp5v42q8kf86dz5kmadgryj5p0yxg45fakrtjxascq7dqr68,bc1p...qr68,16
bc1pcmdmy5nd03yk9q46mt0nn46htz0023jdnz9vghkv5cwnwqeh0tpsexmgsm,bc1p...mgsm,16
bc1paherqmahmer9lr5cc8zk4xvvndek5jnr73lnhkth2euwkrejc8jq3x3uzn,bc1p...3uzn,16
bc1pqqr5eez06f6zagydt0fnq76rdam4uclkgucdxg37fhj70s5re06shjlyv0,bc1p...lyv0,16
bc1pj7l5eaavnc0kk0dw83x9de820clg4u726k7x4x8jf74m678ryctsuedm3s,bc1p...dm3s,16
bc1pp7na22lshlme4a7q4svry7rrhw7cmexge7secv7wjxnhga7qalzsqylxak,bc1p...lxak,16
bc1plejh79gd7eee8dgmvxjzdcf2afqd7ys40wmtep5wt6kelqe7u5hse5nxry,bc1p...nxry,15
bc1qlvx2ksx6tn37jw7n9r3z5tmk2yqr7y4sl2nev2,bc1q...nev2,15
bc1pucds2m5ecvpa9vwcle3fu4pqdssrgfg06sh74l3clstprhh7l3gqtemu4x,bc1p...mu4x,15
bc1puuesr9c4z2pakhg763cmz8340hxu4mtuwxgx7lxh4k5s6n6daaxqnalv2d,bc1p...lv2d,15
bc1puzj0hw4hlaj7havv5s336w9vm8prfqq8zpjrsaqg8r2hm4csadlsaxe5k4,bc1p...e5k4,14
bc1p9p9xww3v09235dmz2gq50yyceaq6ghq0f344wmnvg7z38h355pgs449q84,bc1p...9q84,13
bc1ppdl9tcjc3hsfjugk6wsrd0qe4fqf9r3k6mpmjcqct8vl03mzx9kqs3l35c,bc1p...l35c,13
bc1pefu2mpjq56gtdxplwemjytg7hex9jeuy3dx0vtwfa5t2m37330jsjmlzcz,bc1p...lzcz,13
bc1p8pkay70qe8wq0frcqagyeu3k3cll347jne0aumz2fctdr2v2rz0sndmysc,bc1p...mysc,13
bc1prcz5u28xhlm8nk9kggfx8rt99ptpqftvkxuzxtvwwqc2avxw7yzs6x0vk5,bc1p...0vk5,13
bc1p62urmuef43judjw6y8mw3ujsc7xt5cg7g563lnscamrgjx4a297scx6qgv,bc1p...6qgv,13
bc1p7wpnpymwfz83cgsaputacr9td30yj6h7nw43h5ayxymfp56kty4qj5ys4w,bc1p...ys4w,12
bc1pwp4af8zltduda4jm3pv9hxmpstey94ennm8hqkxccxsyfm6aafxs0njnp7,bc1p...jnp7,12
bc1pvcgj8ylf0lfft0hgc9nq7m9t460krak7vpzx6pxmfp6za8uazgpq5nnz2s,bc1p...nz2s,12
bc1paeqdanaktegt00j40nxas6teffgg2cnqmxxv9etsvskwj255czqqjfhek6,bc1p...hek6,12
bc1p6e5fxxc8n7ydxf48lvcmv4742w0h7rhghllg2syprjfyva0wghls9ta45q,bc1p...a45q,12
bc1p2rghwyuy4xzl4n6rtzf3uywct04sn7jsrht0z2ygcqmsegggxfaqqyjcx0,bc1p...jcx0,12
bc1p5lmyq3v2p8ml847darl4z7nt5dkzefw2958sg567wrvf3wj6pzmsm09wfx,bc1p...9wfx,12
bc1p9rdza8h0kc0ulwn6kz06n0uc0tcqdunjtg4uer2h3jz7neyp0upscqgms2,bc1p...gms2,12
bc1psmam0dscu7wtahcjvxx6dl7ayz9hupu6eauxz2ukkyz9ercygfqst4fz2p,bc1p...fz2p,12
bc1p6pcp20mduk7jgpdx29f7uf50cw0ak47ktm22jlezvypqrxlxvufqwjeyfh,bc1p...eyfh,11
bc1pxvwkqhl5ymls8zkckdnlz64mkq6wdy4ahkjnt952u0mdq2gyfx0s68nq5g,bc1p...nq5g,11
